# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Kategorie der bedrohten Arten	category of endangered species
Kationen ; Kation	cation
Katze	cat
Katzentiere ; Katzen	felid
Kauf	buy ; purchase
Kaufmann	merchant
Kaulquappe	tadpole ; polliwog
Kausalzusammenhang	cause-effect relation
Kaviar	caviar
Keim ; Krankheitserreger	germ
Keimplasma	germ plasm
Keimung	germination
Keller	basement
Kenia	Kenya ; Republic of Kenya
Kenngröße ; Parameter	parameter
Kennzeichnung	labelling
Kennzeichnungspflicht	obligation to label
Keramik	ceramics
Keramikindustrie	ceramics industry
Kernbrennstoff	nuclear fuel
Kernenergie ; Atomenergie	nuclear energy
Kernenergienutzung ; Nutzung der Kernenergie	nuclear energy use
Kernenergierecht ; Kernenergie-Gesetzgebung	nuclear energy legislation
Kernexplosion	nuclear explosion (accident) ; nuclear explosion
Kernforschungszentrum	nuclear research centre
Kernfusion	nuclear fusion
Kernkraftwerk ; Atomkraftwerk	nuclear power plant
Kernphysik ; Nuklearphysik	nuclear physics
Kernreaktion	nuclear reaction
Kernreaktor	nuclear reactor
Kernschmelze	core meltdown
Kernspaltung	nuclear fission
Kernwaffenversuch ; Kernwaffentest ; Atomwaffenversuch ; Nuklearwaffentest ; Atomwaffentest	nuclear test
Kerosin	kerosene
Kerze	candle
Kessel	boiler
Kessel	kettle
Kfz-Abgas	motor vehicle exhaust gas
Khartum	Khartoum
Khmer	Khmer ; Central Khmer
Kiefer	pino ; pine
Kieferfühler	chelicerate
Kies	gravel
Kiesabbau	gravel extraction
Kiesgrube	gravel pit
Kilogramm	kilogram
Kind	child
Kinderarzt	paediatrician
Kinofilm	cinematographic film
Kirche	church
Kirgisistan	Kyrgyzstan ; Kyrgyz Republic
Kiribati	Kiribati ; Republic of Kiribati
Kirsche	cherry
Klarinette	clarinet
Klassifikation	classification
Klavier	piano ; pianoforte
Klebstoff ; Kleber ; Leim ; Klebemittel ; Klebverbinder	adhesive
Klebstoff ; Leim	glue
Kleid	dress
Kleidung	attire
Kleiner Hund	Canis Minor
Kleinkind	infant
Kleptomanie	kleptomania
Klima	climate
Klimaentwicklung	climatic alteration
Klimaexperiment	climatic experiment
Klimaressourcen	climate resource
Klimaschutz	climate protection
Klimatisierung ; Klimaanlage	air conditioning ; AC ; air-conditioning
Klimatologie	climatology
Klimatyp	climate type
Klimawirkung	climatic effect
Klimax	climax
Klimazone	climatic zone
Klimaänderung ; Klimaveränderung ; Klimawandel	climatic change ; climate change
Klippe	cliff
Klischee ; Gemeinplatz	platitude ; cliche ; cliché
Klitoris ; Clitoris ; Kitzler	button ; clit ; clitoris
Klonen	cloning
Knopfzelle	button-cell battery
Knöchel ; Fußknöchel	ankle ; talocrural joint
Koagulation	coagulation
Kobalt ; Cobalt	cobalt
Kochsalz ; Salz ; Speisesalz ; Tafelsalz	salt
Kodifizierung	codification
Kohle	coal
Kohlebergbau	coal mining
Kohlekraftwerk	coal-fired power plant
Kohlendioxid ; Kohlenstoffdioxid	carbon dioxide
Kohlenhydrat	carbohydrate
Kohlenindustrie	coal industry
Kohlenmonoxid	carbon monoxide
Kohlenstoff	carbon
Kohlenwasserstoff	hydrocarbon
Kohlenwasserstofftank	hydrocarbon storage tank
Kohletechnologie	coal technology
Kohleveredelung	coal refining
Kohleverflüssigung	coal liquefaction
Kokain ; Cocain	cocaine
Kokosnuss	kokosnoot ; coconut
Koks	coke
Kolbenprober ; Kolbenprober ; Spritze	syringe
Kolibakterien	coliform bacterium
Kolloid	colloid
Kolonie	colony
Kolorimetrie	colourimetry
Kolumbien	Colombia ; Republic of Colombia
Kombikraftwerk	combined cycle-power station
Kombinationswirkung	combination effect
Kombiverkehr	combined transport
Komet	comet
Kommerzialisierung	commercialisation
Kommerzielle Aktivität ; Unternehmen ; Geschäft	business
Kommunalbehörde	local authority
Kommunalebene	municipal level
Kommunalentwicklung	local development
Kommunalfinanzen	local finance
Kommunalpolitik	local government policy
Kommunalverwaltung	local government
Kommunikation	communications
Kommunikationsindustrie	communications industry
Kommunikationsmittel	means of communication
Kommunikationspolitik	communications policy
Kommunikationssystem	communications system
Kommunismus	communism
Komoren	Comoros ; Union of the Comoros
Komplexbildner	complexing agent
Komplexbildung	complex formation
Kompost	compost
Kompostierung	composting
Kompression	compression
Kompressor	compressor
Kondensation	condensation (process) ; condensation
Konflikt	conflict
Konkurrenz ; marktwirtschaftlicher Wettbewerb ; Wettbewerb	economic competition
Konserve	preserve
Konservierung	conservation
Konservierungsmittel	preservative
Konsonant ; Mittöner ; Mitlaut	consonant
Konsum	consumption
Konsumgüter	consumer goods
Konsumprodukt	consumer product
Konsumverhalten	consumer behaviour
Kontinent	continent
Kontinentalklima	continental climate
Konto	account
Kontrakt ; Vertrag	contract
Kontrollmassnahme	control measure
Konvention	convention
Konzentration	concentration
Konzentration wirtschaftlicher Macht	economic concentration
Konzentrierung	concentration
Konzession	concession
Kooperation ; Zusammenarbeit	co-operation
Kooperationspolitik	co-operation policy
Kooperationsprinzip	co-operation principle
Koordinatensystem	co-ordinate system
Koordinierung	co-ordination
Kopenhagen	Copenhagen
Kopffüßer	cephalopod
Korallen	coral
Korallenriff	coral reef
Korbblütler ; Asterngewächse	Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family
Koreanisch	Korean ; Korean
Korfu	Corfu
Kork	cork
Kornisch ; Kernewek ; Kernowek ; Kernuak	Cornish
Korridor	corridor
Korrosion	corrosion
Korrosionshemmer	corrosion inhibitor
Korruption	corruption
Korsisch	Corsican ; Corsican
Kosmetikindustrie	cosmetic industry
Kosmologie	cosmology
Kosovo	Kosovo
Kosten	cost
Kosten der Verunreinigung	pollution cost
Kosten-Nutzen	cost-benefit
Kosten-Nutzen-Analyse	cost-benefit analysis
Kosteninternalisierung	internalisation of external costs
Kostensenkung	cost reduction
Kostensteigerung	cost increase
Kraft-Wärme-Kopplung	cogeneration
Kraftfahrzeug	motor vehicle
Kraftrad ; Motorrad	motorcycle ; motorbike
Kraftstoff	motor fuel
Kraftstoffverbrauch	fuel consumption
Kraftstoffzusatz	fuel additive
Kraftwerk	power station
Krakau	Krakow ; Cracow
Krankenhausabfall	hospital waste
Krankheit	disease ; illness ; affliction
Krankheitsbild	clinical symptom
Krankheitserreger	pathogen
Krankheitserreger	pathogenic organism
Krankheitsursache	disease cause
Kreativität ; Schaffenskraft ; Erfindungsreichtum ; Genie	creativity ; inventiveness
Krebs	Cancer
Krebskrankheit	cancer
Krebsrisiko	cancer risk
Kredit	credit
Kredithilfe	credit assistance
Kreditpolitik	credit policy
Kreide	chalk
Kreislauferkrankung	cardiovascular disease
Kreislaufwirtschaft	life-cycle management
Kreislaufwirtschafts- und Abfallgesetz	recycling management and waste law
Kreuzfahrt	cruising
Kreuzfahrt	pleasure cruising
Kreuzworträtsel	crossword
Krieg	war
Kriegsgefangener	prisoner of war ; POW ; PoW ; PW
Kriminalität	criminality
Krisenmanagement	crisis management
Kristall	crystal
Kristallisation	crystallisation
Kristallographie	crystallography
Kroatien	Croatia ; Republic of Croatia
Kroatisch	Croatian ; Croation
Krokodil	crocodile
Krustazeen ; Krustentiere ; Krebse	crustacean
Krustentier ; Meeresfrucht ; Meeresfrucht	shellfish ; shellfish
Kruzifix	crucifix
Kryptogame	cryptogam
Krypton	krypton
Kröte	toad
Kuba	Cuba ; Republic of Cuba
Kugel	bullet
Kuh	cow
Kultur	culture
Kulturerbe	cultural heritage
Kulturpflanze	cultivated plant
Kulturpolitik	cultural policy
Kunst	art
Kunsthandwerk	handicraft
Kunststoffabfall	plastic waste
Kupfer	copper
Kuwait ; Kuweit	Kuwait ; State of Kuwait
Kymrisch ; Walisisch	Welsh ; Welsh
Kyoto	Kyoto
Käfer	beetle
Kälte	cold
Kälteerzeugende Industrie	refrigeration industry
Kältemittel	refrigerant
Käse	cheese
Köln	Cologne
Königin	queen
Königreich der Niederlande ; Niederlande ; Holland ; Holland	Holland ; Kingdom of the Netherlands ; The Netherlands
Körnung	granulometry
Kühlschmierstoff	cooling oil
Kühlschrank	refrigerator
Kühlschrank ; Kühlraum	refrigerator ; fridge
Kühlturm	cooling tower
Kühlung	cooling
Kühlung	refrigeration
Kühlwasser	cooling water
Künstler	artist ; creative person
Kürschnerei	furriery
Küste ; Ufer	coast
Küstenentwicklung	coastal development
Küstenfischerei	coastal fishing
Küstengebiet	coastal area
Küstengebietsplanung	coastal zone planning
Küstengewässer	coastal water
Küstenregion	coastal environment
Küstenschutz	coast protection
Küstenverschmutzung	coastal pollution
Küstenwacht	coastguard
Küstenökosystem	coastal ecosystem
Laboratorium	laboratory
Laboratoriumsabfall	laboratory waste
Labortechnik	laboratory technique ; laboratory techniques
Laboruntersuchung	laboratory research
Laborversuch	laboratory experiment
Laborversuch	laboratory test
Lachs	salmon
Lack	lacquer
Lackiererei ; Lackiererei ; Farbengeschäft ; Farbenhandel ; Farbenhandlung	paint shop
Lager ; Armeelager	camp ; military camp ; army camp ; campsite
Lagerung	stocking
Lagerung landwirtschaftlicher Erzeugnisse	agricultural storage
Lagos	Lagos
Lagune	lagoon
Lagune innerhalb von Korallenriffen	coral reef lagoon
Lampe	lamp ; light
Land	land
Land- und Viehwirtschaft	agriculture and cattle industry
Landbedeckung	land cover
Landesbehörde	provincial/regional authority (D) ; regional authority ; provincial authority
Landesentwicklung	land development
Landespflege	land conservation
Landesplanung	national planning
Landesrecht	regional law
Landesrecht	provincial/regional law (D) ; regional legislation
Landhaus	country lodge
Landkreis	county
Landmaschine ; landwirtschaftliches Gerät	agricultural equipment ; agricultural machinery ; farm machinery
Landplanung	land planning
Landschaft	landscape
Landschaftsarchitektur	landscape architecture
Landschaftsbild ; Naturlandschaft	natural scenery
Landschaftselement	landscape component
Landschaftsnutzung	landscape utilisation
Landschaftspflege	landscape conservation policy
Landschaftspflege	landscape management
Landschaftsplanung	landscape planning
Landschaftsrückgewinnung	recovery of landscape
Landschaftsschutz	landscape conservation
Landschaftsschutz	landscape protection
Landschaftsschutzgebiet	landscape protection area
Landschaftsverbrauch	landscape consumption
Landschaftsveränderung	landscape alteration
Landschaftsökologie	landscape ecology
Landspitze ; Landzunge	headland
Landsäugetier	land mammal
Landwirtschaft	agriculture
Landwirtschaft ; Landwirtschaft	agriculture ; agriculture
Landwirtschafts- und Ernährungssektor	agri-foodstuff
Landwirtschaftsrahmenplan	agriculture framework plan
Langzeitversuch	long-term experiment
Langzeitwirkung	long-term effect
Lanthan	lanthanum
Laos ; Demokratische Volksrepublik Laos	Laos ; Lao People's Democratic Republic
Laotisch	Lao ; Lao
Laser	laser ; Light Amplification by Stimulated Emission of Radiation
Lastkraftwagen ; LKW ; Truck	lorry
Latein ; Lateinisch	Latin ; Latin
Laterne	lantern
Laub	foliage
Laubbaum	broad-leaved tree
Laubbaum ; Laubgehölz	deciduous tree
Laubwald	deciduous forest ; deciduous wood
Lauge	lye
Lausanne	Lausanne
Lautstärke	loudness
Lavandel ; Lavendel	lavender ; lavander
Lawine	avalanche
Lawinenschutz	avalanche protection
Lawrencium	lawrencium
Lebensalter ; Alter	age
Lebensbedingung	living condition
Lebensmittel	foodstuff
Lebensmittelbefall	infestation of food
Lebensmittelbestrahlung	food irradiation
Lebensmittelerzeugung ; Nahrungsmittelproduktion	food production (agriculture) ; food production
Lebensmittelhygiene	food hygiene
Lebensmittelindustrie	food industry
Lebensmittelindustrie	food processing industry
Lebensmittelkonservierung	food preservation
Lebensmittelkontamination	food contamination
Lebensmittelkunde	food science
Lebensmittellagerung	food storage
Lebensmittelqualität	food quality
Lebensmitteltechnologie	food technology
Lebensmitteltransport	food transport
Lebensmittelverunreinigung	food pollutant
Lebensmittelzusatzstoff	food additive
Lebensqualität	quality of life
Lebensraum	living space
Lebensstandard	living standard
Lebensstil	lifestyle
Lebensumgebung	living environment
Lebenszyklus	life cycle
Leber	liver
Leckage	leakage
Leder	leather
Lederindustrie	leather industry
Legasthenie	dyslexia
Legierung	alloy
Legislative	legislature
Lehm	clay
Lehrer	teacher
Leichenentsorgung	disposal of the dead
Leichtigkeit ; Einfachheit	facility
Leistung	power (physics) ; power
Leistungsprüfung	competitive examination
Leitfähigkeit ; elektrische Leitfähigkeit	conductivity ; electrical conductivity
Leningrad ; Petrograd ; Sankt Petersburg	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Lenkung der Agrarproduktion	regulation of agricultural production
Leopard ; Panther	leopard
Lepidoptera	lepidopteran
Lesotho	Lesotho ; Kingdom of Lesotho
Lethargie ; Winterschlaf	lethargy ; sluggishness ; languor
Lettisch	Latvian ; Latvian
Lettland	Latvia ; Republic of Latvia
Leu ; Leu ; Löwe	lion
Leukämie	leukaemia
Leute	people
Lexikon ; Wortschatz	lexicon
Lexikon ; Wörterbuch ; Diktionär	dictionary
Libanon	Lebanon ; Lebanese Republic
Libelle	dragonfly
Liberalismus	liberalism
Liberia	Liberia ; Republic of Liberia
Libyen ; Lybien ; Libysch-Arabische Dschamahirija	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Licht	light
Liebe ; Minne	love
Liechtenstein ; Fürstentum Liechtenstein	Liechtenstein ; Principality of Liechtenstein
Limburgisch	Limburgish ; Limburgian
Limnologie	limnology
Linie	line
Linienquellen	line source
Linienschallquelle	linear source of sound
Linse	lens
Linse	lentil
Lipid	lipid
Lippe	lip
Lippenstift	lipstick
Lissabon	Lisbon
Litauen	Lithuania ; Republic of Lithuania
Litauisch	Lithuanian ; Lithuanian
Literatur	literature
Literaturauswertung	literature evaluation
Literaturdatenbank	literature data bank
Literaturstudie	literature study
Lithium	lithium
Lithographie	lithography
Lithosphäre	lithosphere
Litoral	littoral
Logik	logic
Lohnpolitik	pay policy
Lokomotive ; Lok	locomotive
London	London
Lotsendienst	pilotage
Lotterie	lottery
Luchs	lynx
Luft	air
Luft-Wasser-Wechselwirkung	air-water interaction
Luftbewegung	air movement
Luftbild	aerial photograph
Luftbildfotographie ; Luftbildfotografie	aerial photography
Luftfahrtrecht	aviation law
Luftfahrzeug	aircraft
Luftgüte ; Luftqualität	air quality
Luftgüteüberwachung	air quality control
Luftpost	airmail
Luftraumplanung	airspace planning
Luftreinhaltung	air quality management
Luftschadstoff	air pollutant
Luftschall	airborne noise
Luftsicherheit	air safety
Lufttemperatur	air temperature
Lufttransport	air transportation
Luftverkehr	air traffic
Luftverkehrsgesetz	air traffic law
Luftverschmutzung von Innenräumen	indoor air pollution
Luftverunreinigung	air pollution
Lunge	lung
Lungenerkrankung	pulmonary disease
Lutecium ; Lutetium	lutetium
Lux	lux
Luxemburg ; Großherzogtum Luxemburg	Luxembourg ; Grand Duchy of Luxembourg
Luxemburgisch	Luxembourgish ; Luxemburgish ; Luxembourgian
Lymphsystem	lymphatic system
Lyon ; Leyden	Lyon
Lysimetrie	lysimetry
Lächeln	smile
Längengrad ; geografische Länge	longitude
Lärm	noise
Lärm ; Lärm, Erschütterungen ; Krach ; Störgeräusche	noise ; noise, vibrations ; racket
Lärmabgabe	noise emission levy
Lärmbekämpfung	noise abatement
Lärmbekämpfung	noise control
Lärmbelastung	noise pollutant
Lärmbelästigung	noise disturbance ; noise pollution
Lärmbelästigung	noise pollution
Lärmexpositionsplan	noise exposure plan
Lärmimmission	noise immission
Lärmmessung	noise measurement
Lärmminderung	noise reduction
Lärmpegel	noise level
Lärmrecht	noise legislation
Lärmschutz	noise protection
Lärmschutzwall	noise barrier
Löffel	spoon
Löslichkeit	solubility
Lösung von Umweltproblemen	environmental problem solving
Lösungsmittel	solvent
Löwe	Leo
Löwenzahn	dandelion
Lüftung	ventilation
MAK-Wert	maximum admissible concentration
MIK-Wert	maximum immission concentration
Madagaskar	Madagascar ; Republic of Madagascar
Magen	stomach
Magnesium	magnesium
Magnetband	magnetic tape
Magnetismus	magnetism
Mahd	mowing
Mai	May
Mailand	Milan
Makrele	mackerel
Malaria	malaria
Malawi	Malawi ; Republic of Malaŵi
Malayalam	Malayalam ; Malayalam
Malaysia	Malaysia
Malediven	Maldives ; Republic of the Maldives
Malerbetrieb	painting business
Malerwerkstatt	paint room
Mali	Mali ; Republic of Mali
Malta	Malta ; Republic of Malta
Maltesisch	Maltese
Management ; Führung	management
Managementtechnik	management technique
Mandarin ; Hochchinesisch ; Putonghua	mandarin ; Mandarin ; Standard Mandarin
Mandat	mandate
Mandel	almond
Mangan	manganese
Mango	mango
Mangrove	mangrove
Manöverschaden	damage from military manoeuvres
Maori	Maori
Maquis	maquis
Marathi	Marathi ; Marāthi ; Marāthi ; MarÄthi
Marder	mustelid
Marketing	marketing
Markierungsstoff	marker
Markow-Kette ; Markowsche Kette ; Markov-Kette ; Markoff-Kette	Markov chain ; Markoff chain
Markrophyt	macrophyte
Markt	market ; marketplace
Marktform	market form
Marktforschung	market research
Marktpreis	market price
Marktstudie	market study
Marktwirtschaft	market economy
Marmor	marble
