# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
génie hydraulique	hydraulic engineering
génie marin	marine engineering
génie électrique ; électrotechnique	electrical engineering
génocide	genocide
génome	genome
génotoxicité	genotoxicity
génotype	genotype
généalogie	genealogy
général	general
générateur de vapeur	steam generator
génétique	genetics
géodésie	geodesy
géographie	geography
géographie physique	physical geography
géographie politique	political geography
géographie économique	economic geography
géologie	geology
géologie marine	marine geology
géomorphologie	geomorphology
géométrie	geometry
géophysique	geophysics
géorgien	Georgian ; Georgian
géotechnique	geotechnics
géotechnologie	geotechnology
géranium	geranium
gîte rural	country lodge
habillement	attire
habillement	clothing ; apparel
habiller	dress ; clothe
habitant	inhabitant
habitat	habitat
habitat animal	animal habitat
habitat humain	human habitat
habitation	dwelling
habitation à loyer modéré ; HLM	low-cost housing
hafnium	hafnium
haie	hedge
haine	hate ; hatred
haloforme	haloform
harem	harem
haricot	bean ; edible bean
harmonisation des lois	harmonisation of law
harmonisation internationale	international harmonisation
harpon	harpoon
hassium	hassium
haut fourneau	blast furnace
haute mer	open sea
haute montagne	high mountain
hauteur de cheminée	chimney height
hauteur excessive des cheminées d'usine	excessive height of chimney stacks
haïku	haiku
herbe	grass
herbicide	herbicide
herbier	flora (document) ; flora
herbivore	herbivore ; plant eater
heure	hour
hindi ; hindî	Hindi ; Hindi
histoire	story
histoire	history
histoire de l'écologie	environmental history
historiographie	historiography
hiver	winter
hivernage	overwintering
hiérarchie	hierarchy
hockey sur glace	ice hockey
holmium	holmium
homme	man
homologation	homologation
homologation d'installations	approval of installations
homonyme	homonym
homéostasie	homeostasis
hongrois	Hungarian
honteux	ashamed
horizon	horizon
hors site	off-site
horticulture	horticulture
horticulture en serre	greenhouse cultivation
huile de fond de cale	bilge oil
huile de refroidissement	cooling oil
huile minérale	mineral oil
huile végétale	vegetable oil
huit	eight
humidité	moisture
humiliation	abasement
humus	humus
huître ; huitre	oyster
hybridation	hybridisation
hydrate de carbone ; glucide	carbohydrate
hydraulique	hydraulics
hydraulique agricole	agricultural hydraulics
hydro-écologie	aquatic ecology
hydrobiologie	hydrobiology
hydrocarbure	hydrocarbon
hydrocarbure aromatique	aromatic hydrocarbon
hydrocarbure aromatique polycyclique	polycyclic aromatic hydrocarbon
hydrocarbure chloré	chlorinated hydrocarbon
hydrocarbure halogéné	halogenated hydrocarbon
hydrocarbure polycyclique	polycyclic hydrocarbon
hydrocarbures aliphatiques	aliphatic hydrocarbon
hydrocarbures chlorofluorés	partially halogenated chlorofluorohydrocarbon
hydrocarbures cycloaliphatiques	alicyclic hydrocarbon
hydrographie	hydrography
hydrogène	hydrogen
hydrogéologie	hydrogeology
hydrologie	hydrology
hydrolyse	hydrolysis
hydrométrie	hydrometry
hydrométéorologie	hydrometeorology
hydrosphère	hydrosphere
hygiène	hygiene
hygiène alimentaire	food hygiene
hygiène de l'environnement	environmental health
hygiène du travail	occupational health
hymenoptère	hymenopteran
hyperonyme ; terme plus général ; termes plus généraux	broader term ; broader terms ; hypernym ; holonym
hypertexte	hypertext
hyponyme ; termes plus restreints	hyponym ; narrower terms ; narrower term
hypophyse	pituitary gland
hypothèse Sapir-Whorf	Sapir–Whorf hypothesis
hyène	hyena
hébergement	lodging
hébreu	Hebrew
hédonisme	hedonism
hégémonie	hegemony
hélicoptère	helicopter
hélium	helium
hématologie	haematology
hémorragie	haemorrhage ; bleeding
hérisson	hedgehog
héron	heron
héroïne	heroin
hétérocycle	heterocyclic compound
hôpital	hospital ; clinic
iceberg	iceberg
ici	here
identification de produits	product identification
ido	Ido ; Ido
idéologie	ideology
idéologie politique	political ideology
il	he
immeuble de grande hauteur	high-rise building
immeuble en copropriété	apartment block
immeuble ministériel	ministry ; ministry building
immission	immission
immission des polluants	pollutant immission
immobilisation des polluants	pollutant immobilisation
immunité	immunity
immunologie	immunology
impact  du tourisme sur l'environnement	environmental impact of tourism
impact de l'agriculture sur l'environnement	environmental impact of agriculture
impact de l'aquaculture sur l'environnement	environmental impact of aquaculture
impact de l'industrie sur l'environnement	environmental impact of industry
impact de l'énergie sur l'environnement	environmental impact of energy
impact de la pêche sur l'environnement	environmental impact of fishing
impact de la sylviculture sur l'environnement	environmental impact of forestry
impact des loisirs sur l'environnement	environmental impact of recreation
impact des ménages sur l'environnement	environmental impact of households
impact des transports sur l'environnement	environmental impact of transport
impact du bruit	noise immission
impact sur l'environnement	environmental impact
impacteur	impactor
importation	import
imprimerie	printing work
imprégnation	impregnation
impôt	levy
impôt sur le revenu	income tax
in situ	in situ
incendiaire	arsonist
incendie criminel	arson
incendie de forêt ; feu de forêt	forest fire
incinérateur	incinerator
incinération	incineration
incinération des déchets	incineration of waste
incitation fiscale	incentive tax
incitation à la lutte contre la pollution	antipollution incentive
incitation économique	economic incentive
incorporation	incorporation
indemnisation	indemnity
index	index
index environnemental	environmental index
indexation de la documentation	indexing of documentation
indicateur	indicator
indicateur biologique	biological indicator
indicateur culturel	cultural indicator
indicateur de la qualité environnementale	indicator of environmental quality
indicateur de pollution	pollution indicator
indicateur environnemental	environmental indicator
indice biotique	biotic index
indium	indium
individu	individual
indonésien	Indonesian
inducer indirect	indirect discharger
inducteur direct	direct discharger
industrialisation	industrialisation
industrie	industry
industrie alimentaire	food industry
industrie alimentaire	food processing industry
industrie automobile	automobile industry
industrie charbonnière	coal industry
industrie chimique	chemical industry
industrie cosmétique	cosmetic industry
industrie d'appareillage	instrument manufacture
industrie de l'aluminium	aluminium industry
industrie de l'ameublement	furniture industry
industrie de l'emballage	packing industry
industrie de l'habillement	clothing industry
industrie de la cellulose	cellulose industry
industrie de la communication	communications industry
industrie de la céramique	ceramics industry
industrie de la pêche	fishing industry
industrie de la récupération	reclamation industry
industrie de véhicules à moteur	motor vehicle industry
industrie des boissons	beverage industry
industrie des huiles et graisses	oil and fat industry
industrie des matériaux de construction	building materials industry
industrie des métaux non ferreux	non-ferrous metal industry
industrie des produits métalliques	metal products industry
industrie du bâtiment	building industry
industrie du béton	concrete products industry
industrie du ciment	cement industry
industrie du cuir	leather industry
industrie du froid	refrigeration industry
industrie du verre	glass industry
industrie forestière	forest industry
industrie hôtelière	hotel industry
industrie informatique	information technology industry
industrie laitière	dairy industry
industrie minière	extractive industry
industrie minière	mining industry
industrie minérale	mineral industry
industrie mécanique	machine manufacture
industrie mécanique	mechanical industry
industrie métallurgique	metallurgical industry
industrie papetière	paper industry
industrie pharmaceutique	pharmaceutical industry
industrie pétrochimique	petrochemical industry
industrie pétrolière	petroleum industry
industrie sidérurgique	iron and steel industry
industrie sidérurgique	iron industry
industrie sidérurgique	ironwork industry
industrie textile	textile industry
industrie électrique	electrical industry
industrie électrotechnique	electrotechnical industry
industrie énergétique	energy industry
indutrie des biens électroménagers	electrical goods industry
indépendance	independence
inertage	inertisation
infection	infection
infestation des aliments	infestation of food
infestation des cultures	infestation of crops
infestation parasitaire ; infestation parasitaire	pest infestation
infidèle, ; infidèle ; païen	heathen ; infidel ; pagan
infiltration	infiltration
inflation	inflation
